description,protein,carbohydrate,fat_total_lipid,vitamin_c,iron,calcium,lowcarb,vegan,keto,highprotein
"Chicken, ground, with additives, raw",17.9,0.0,,,0.593,5.82,True,False,False,True
"Turkey, ground, 93% lean/ 7% fat, raw",17.3,0.0,,,1.09,23.6,True,False,False,True
"Nuts, brazilnuts, raw",15.0,21.6,,,2.47,168.0,False,True,False,True
"Nuts, cashew nuts, raw",17.4,36.3,,,5.99,42.0,False,True,False,True
"Nuts, hazelnuts or filberts, raw",13.5,26.5,,,3.46,135.0,False,True,False,True
"Peanuts, raw",23.2,26.5,,,1.55,49.1,False,True,False,True
"Flour, chestnut",5.29,80.5,,4.05,1.62,55.8,False,True,False,False
"Nuts, macadamia nuts, raw",7.79,24.1,,,1.88,52.7,False,True,False,False
"Nuts, pistachio nuts, raw",20.5,27.7,,,3.46,117.0,False,True,False,True
"Seeds, pumpkin seeds (pepitas), raw",29.9,18.7,,,8.36,37.4,False,True,False,True
"Seeds, sunflower seed, kernel, raw",18.9,24.5,,,4.37,116.0,False,True,False,True
"Flour, coconut",16.1,58.9,,,8.02,36.0,False,True,False,True
"Beans, cannellini, dry",21.6,59.8,,,6.67,143.0,False,True,False,True
"Chickpeas, (garbanzo beans, bengal gram), dry",21.3,60.4,,,5.09,111.0,False,True,False,True
"Lentils, dry",23.6,62.2,,,7.16,61.8,False,True,False,True
"Blackeye pea, dry",21.2,61.8,,,5.93,71.4,False,True,False,True
"Beans, black, canned, sodium added, drained and rinsed",6.91,19.8,,,1.69,43.3,False,True,False,False
"Beans, navy, canned, sodium added, drained and rinsed",6.57,20.0,,,1.6,63.9,False,True,False,False
"Beans, cannellini, canned, sodium added, drained and rinsed",7.41,18.8,,,1.4,69.2,False,True,False,False
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",7.02,20.3,,,1.04,40.5,False,True,False,False
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",7.8,21.0,,,1.44,56.9,False,True,False,False
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",7.31,21.4,,,1.3,60.2,False,True,False,False
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",4.73,12.7,,,1.14,28.2,True,True,False,False
"Beans, pinto, canned, sodium added, drained and rinsed",6.69,19.6,,,1.28,55.2,False,True,False,False
"Blackeye pea, canned, sodium added, drained and rinsed",6.92,19.2,,,1.08,27.8,False,True,False,False
"Beans, great northern, canned, sodium added, drained and rinsed",7.03,19.3,,,1.38,67.2,False,True,False,False
"Pork, loin, boneless, raw",21.1,0.0,,,0.452,4.11,True,False,False,True
"Pork, loin, tenderloin, boneless, raw",21.6,0.0,,,0.929,4.53,True,False,False,True
"Chicken, breast, boneless, skinless, raw",22.5,0.0,,,0.354,3.94,True,False,False,True
"Chicken, thigh, boneless, skinless, raw",18.6,0.0,,,0.602,5.65,True,False,False,True
"Beef, ribeye, steak, boneless, choice, raw",18.7,0.0,,,1.64,4.17,True,False,True,True
"Beef, round, top round, boneless, choice, raw",21.5,0.852,,,1.9,4.07,True,False,False,True
"Beef, chuck, roast, boneless, choice, raw",18.4,0.0,,,2.06,4.58,True,False,False,True
"Beef, flank, steak, boneless, choice, raw",20.1,0.0,,,1.83,3.84,True,False,False,True
"Yogurt, plain, nonfat",4.23,8.08,,,0.0,167.0,True,False,False,False
"Cheese, monterey jack, solid",22.6,1.9,,,0.0,715.0,True,False,True,True
"Cheese, pasteurized process cheese food or product, American, singles",15.6,8.19,,,1.3,1500.0,True,False,True,True
"Cheese, provolone, sliced",23.5,2.45,,,0.0,749.0,True,False,True,True
"Cheese, oaxaca, solid",22.1,2.4,,,0.0,532.0,True,False,False,True
"Cheese, queso fresco, solid",18.9,2.96,,,0.0,602.0,True,False,True,True
"Cheese, cotija, solid",23.8,2.72,,,0.0,700.0,True,False,True,True
"Fish, salmon, sockeye, wild caught, raw",22.3,0.0,,,0.402,14.8,True,False,False,True
"Fish, salmon, Atlantic, farm raised, raw",20.3,0.0,,,0.259,9.42,True,False,False,True
"Fish, tilapia, farm raised, raw",19.0,0.0,,,0.0,8.63,True,False,False,True
"Crustaceans, shrimp, farm raised, raw",15.6,0.485,,,0.522,64.6,True,True,False,True
"Fish, cod, Atlantic, wild caught, raw",16.1,0.0,,,0.065,6.59,True,False,False,True
"Fish, catfish, farm raised, raw",16.5,0.0,,,0.0,7.8,True,False,False,True
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",18.6,0.0,,,0.632,111.0,True,True,False,True
"Squash, summer, green, zucchini, includes skin, raw",0.984,0.0,,,0.194,20.8,True,True,False,False
